,population,city,country,latitude,longitude
0,150178,Piedras Negras,Mexico,,
1,203007,Oxnard,USA,34.2023,-119.2046
2,163049,Desē,Ethiopia,11.15,39.66
3,147478,Torrance,USA,33.835,-118.3414
4,140000,Oturkpo,Nigeria,"7,195","8,136"
5,119647,Derbent,Russia,42.05,48.3
6,142579,Bima,Indonesia,,
7,22265426,Shanghai,China,31.2253441,121.4888922
8,350000,Cabinda,Angola,-5.6,12.19
9,205059,Akyab,Myanmar,"20,14","92,89"
10,198565,Kaolack,Senegal,"14,156","-16,077"
11,183274,Rewa,India,24.53,81.3
12,147273,Cienfuegos,Cuba,22.237978,-80.365865
13,116980,Zoetermeer,Netherlands,52.060669,4.494025
14,19610000,Beijing,China,39.9059093,116.3913489
15,13120596,Istanbul,Turkey,41.008929,28.967115
16,12478447,Mumbai,India,19.075984,72.877656
17,11969284,Karachi,Pakistan,24.861462,67.009939
18,11918057,MOSKVA,Russia,55.755826,37.6173
19,11895893,São Paulo,Brazil,-23.593318,-46.614033
20,11090314,Tianjin,China,39.1235635,117.1980785
21,11070654,Guangzhou,China,23.1300037,113.259001
22,11007835,Delhi,India,28.613939,77.209021
23,10590000,Lagos,Nigeria,"6,645","3,329"
24,10357938,Shenzhen,China,22.5342531,114.111748
25,10251297,Seoul,Republic of Korea,37.566535,126.977969
26,9780644,Wuhan,China,30.5960213,114.2992796
27,9588198,Jakarta,Indonesia,-6.208763,106.845599
28,8851080,Mexico City,Mexico,19.432608,-99.133208
29,8637098,Tokyo,Japan,35.681382,139.766084
30,8425970,Bengaluru,India,12.971599,77.594563
31,8405837,New York,USA,40.6643,-73.9385
32,8305218,Bangkok,Thailand,13.756331,100.501765
33,8220937,Dongguan,China,23.0449275,113.7524781
34,8174100,London,United Kingdom,51.507351,-0.127758
35,8154051,Teheran,Iran,35.696111,51.423056
36,7947121,Cairo,Egypt,30.04442,31.235712
37,7677122,Chengdu,China,30.6765553,104.0612783
38,7674366,Bogotá,Colombia,4.701916,-74.144195
39,7457589,Chongqing,China,30.05518,107.8748712
40,7208618,Kinshasa,Democratic Republic of the Congo,-4.4,15.32
41,7208200,Ahmedabad,India,23.022505,72.571362
42,7165828,Nanjing,China,32.0609158,118.7916065
43,7123340,Hồ Chí Minh Stadt,Vietnam,10.823099,106.629664
44,7055071,Hong Kong,China,22.2793278,114.1628131
45,6809970,Hyderabad,India,17.385044,78.486671
46,6501189,Xi'an,China,34.2191582,109.110194631
47,6485175,Lahore,Pakistan,31.473178,74.302767
48,6453682,Rio de Janeiro,Brazil,-22.913693,-43.171828
49,6448837,Hà Nội,Vietnam,21.027764,105.83416
50,6280000,Onitsha,Nigeria,"6,113","6,790"
51,6255921,Shenyang,China,41.8045293,123.4277858
52,6242000,Hangzhou,China,30.2665643,120.149335
53,5831541,Bagdad,Iraq,33.325,44.422
54,5644235,Dhaka,Bangladesh,23.7282161,90.4098792
55,5399200,Singapore,Singapore,1.280095,103.850949
56,5349090,Suzhou,China,31.2984758,120.622239
57,5289364,Caracas,Venezuela,10.46964,-66.803718
58,5230000,Luanda,Angola,-8.87,13.28
59,5132794,Toronto,Canada,43.653226,-79.383184
60,5105860,Santiago de Chile,Chile,-33.46912,-70.641997
61,4990602,St. Petersburg,Russia,59.93428,30.335099
62,4948920,Rangoon,Myanmar,"16,79","96,15"
63,4681087,Chennai,India,13.08268,80.270718
64,4672619,Greater Sydney,Australia,-33.867487,151.20699
65,4587200,Qingdao,China,36.0895093,120.3497193
66,4517549,Harbin,China,45.7656666,126.6160584
67,4498535,Khartum,Sudan,15.6,32.53
68,4486679,Kolkata,India,22.572646,88.363895
69,4450000,Aleppo,Syria,36.211683,37.1473
70,4436257,Nairobi,Kenya,-1.26,36.82
71,4431719,Ankara,Turkey,39.92077,32.85411
72,4335900,Jinan,China,36.646804,117.0141223
73,4293416,Sydney,Australia,-33.867487,151.20699
74,4253627,Zhengzhou,China,34.7591877,113.6524076
75,4248344,Greater Melbourne,Australia,-38.109475,144.353185
76,4247414,Alexandria,Egypt,31.200092,29.918739
77,4087733,Dalian,China,38.920716,121.6388678
78,4087152,Riad,Saudi-Arabia,27.177545,49.531898
79,4086734,Melbourne,Australia,-37.814107,144.96328
80,3966553,Abidjan,Côte d'Ivoire,"5,353","-4,029"
81,3884307,Los Angeles,USA,34.0194,-118.4108
82,3760636,Pune,India,18.52043,73.856744
83,3631236,Yokohama,Japan,35.550157,139.578215
84,3629813,Accra,Ghana,"5,550","-0,217"
85,3583429,Kunming,China,25.0515153,102.7017638
86,3548640,Busan,Republic of Korea,35.179554,129.075642
87,3542319,Wuxi,China,31.5756347,120.2954534
88,3531347,Xiamen,China,24.497442,118.1355644
89,3530115,Changchun,China,43.8144046,125.3169424
90,3491597,Ningbo,China,29.8720259,121.549887
91,3437171,Nanning,China,22.8325591,108.3027168
92,3426522,Taiyuan,China,37.8527666,112.5531768
93,3421829,Berlin,Germany,52.5170365,13.3888599
94,3407963,Montreal,Canada,45.501689,-73.567256
95,3354934,İzmir,Turkey,38.423734,27.142826
96,3352076,Hefei,China,31.8228094,117.2218033
97,3290548,Changzhou,China,31.7895377,119.9387608
98,3289000,Kabul,Afghanistan,34.533333,69.166667
99,3258540,Giza,Egypt,30.013056,31.208853
100,3255288,Pyongyang,Democratic People's Republic of Korea,39.039219,125.762524
101,3213271,Madrid,Spain,40.416775,-3.70379
102,3187171,Tangshan,China,39.633333,118.183333
103,3150000,Kano,Nigeria,"11,958","8,500"
104,3102000,Casablanca,Morocco,33.57311,-7.589843
105,3093980,Changsha,China,28.1873765,112.9835823
106,3073350,Jaipur,India,26.912434,75.787271
107,3066110,Dar es Salaam,Tanzania,-6.8,39.21
108,3053778,Xuzhou,China,34.2683747,117.1976092
109,3039500,Wenzhou,China,28.0221989,120.648392
110,3037159,Guiyang,China,26.5814112,106.7052544
111,3029372,Ürümqi,China,43.8059382,87.6055852
112,2980800,Zibo,China,36.8047833,118.0444472
113,2959518,Āddīs Ābebā,Ethiopia,8.98,38.74
114,2921763,Fuzhou,China,26.0771539,119.2914774
115,2902927,Salvador,Brazil,-13.00595,-38.463049
116,2890151,Buenos Aires,Argentina,-34.603723,-58.381593
117,2876374,Surat,India,21.17024,72.831061
118,2861784,Shijiazhuang,China,38.0359808,114.4627725
119,2852372,Brasília,Brazil,-15.900129,-47.771236
120,2815601,Lucknow,India,26.846511,80.946683
121,2808286,Incheon,Republic of Korea,37.476364,126.616936
122,2803716,Kiev,Ukraine,50.4501,30.5234
123,2801481,Dschidda,Saudi-Arabia,21.790138,39.149328
124,2777979,Rome,Italy,41.902784,12.496366
125,2767031,Kanpur,India,26.449923,80.331874
126,2766258,Mashhad,Iran,36.260462,59.616755
127,2765487,Surabaya,Indonesia,-7.26424,112.745579
128,2761720,Quezon City,Philippines,14.676041,121.0437
129,2718782,Chicago,USA,41.8376,-87.6818
130,2645305,Osaka,Japan,34.653345,135.511968
131,2633420,Huai'an,China,33.5896837,119.0212439
132,2600200,Linyi,China,35.1040224,118.3507128
133,2582175,Faisalabad,Pakistan,31.418714,73.079107
134,2575478,Bandung,Indonesia,-6.914864,107.608242
135,2571896,Fortaleza,Brazil,-3.73108,-38.511285
136,2562152,Dakar,Senegal,"14,740","-17,490"
137,2529000,Damasus rural,Syria,33.516729,36.954107
138,2510951,Bekasi,Indonesia,-6.249028,106.996952
139,2508563,Daegu,Republic of Korea,35.871435,128.601445
140,2492325,Lanzhou,China,36.0612545,103.8318602
141,2491109,Belo Horizonte,Brazil,-19.928485,-43.924227
142,2470000,Ibadan,Nigeria,"7,421","3,918"
143,2450559,Maracaibo,Venezuela,10.633333,-71.633333
144,2448710,ASUNCION,Paraguay,-25.282197,-57.6351
145,2417325,Medellín,Colombia,6.25225,-75.5735
146,2405421,Nagpur,India,21.1458,79.088155
147,2399079,Yangzhou,China,32.3926973,119.4365759
148,2364230,Algiers,Algeria,36.752887,3.042048
149,2357838,Nanchang,China,28.6788417,115.8934012
150,2344507,Huizhou,China,23.1060862,114.4141105
151,2319684,Cali,Colombia,3.35478,-76.55793
152,2299026,Valencia,Venezuela,10.157931,-67.99721
153,2291158,Guayaquil,Ecuador,-2.170998,-79.922359
154,2279433,Nyanza Conurbation,Kenya,-0.66,34.72
155,2273326,Nantong,China,31.9822235,120.8914202
156,2271544,Bassorah,Iraq,30.5,47.816667
157,2269862,Bamako,Mali,"12,650","-7,990"
158,2252288,Kumasi,Ghana,"6,694","-1,586"
159,2243833,Paris,France,48.856614,2.352222
160,2239464,Nagoya,Japan,35.136395,136.934833
161,2220624,Mossoul,Iraq,36.34,43.13
162,2199689,Xiangyang,China,32.0553487,112.1294081
163,2199590,Chittagong,Bangladesh,22.3256945,92.1191345993
164,2195914,Houston,USA,29.7805,-95.3863
165,2192065,Greater Brisbane,Australia,-27.471011,153.023449
166,2137218,Tashkent,Uzbekistan,41.266667,69.216667
167,2136595,BAKU,Azerbaijan,40.409262,49.867092
168,2135201,Vancouver,Canada,49.282729,-123.120738
169,2125136,Zaozhuang,China,34.8500093,117.559424
170,2105291,LA HABANA,Cuba,23.159167,-82.271056
171,2099328,Brisbane,Australia,-27.471011,153.023449
172,2070801,Baotou,China,40.660201,109.8303243
173,2046189,Haikou,China,20.0423626,110.3409936
174,2038400,Yiwu,China,29.311254,120.0709185
175,2029797,Medan,Indonesia,3.591541,98.6693
176,2027000,Amman,Jordan,31.956578,35.945695
177,2022867,Sana'a,Yemen,15.369445,44.191007
178,2020301,Manaus,Brazil,-3.107018,-60.053358
179,1980774,Hohhot,China,40.8337963,111.6730788
180,1975803,Jilin City,China,43.5999719,126.857824142
181,1960631,Indore,India,22.719569,75.857726
182,1953801,Putian,China,25.4342199,119.0074625
183,1925948,Luoyang,China,34.6556873,112.4209629
184,1922005,Douala,Cameroon,4.05,9.71
185,1907666,Ouagadougou,Burkina Faso,"12,362","-1,526"
186,1905570,Bursa,Turkey,40.182846,29.067084
187,1904319,Sapporo,Japan,43.06208,141.354361
188,1902500,Taizhou,China,32.4849554,119.9117284
189,1899999,Greater Perth,Australia,-31.953513,115.857047
190,1893063,Minsk,Belarus,53.90454,27.561524
191,1880000,Uyo,Nigeria,"5,048","7,778"
192,1870600,Yantai,China,37.5340488,121.389463
193,1864416,Curitiba,Brazil,-25.423541,-49.317431
194,1858875,Nanchong,China,30.7955696,106.0835539
195,1837302,Hải Phòng,Vietnam,20.844912,106.688084
196,1834184,Perth,Australia,-31.953513,115.857047
197,1822640,Jiangmen,China,22.5766294,113.079047
198,1818872,Thane,India,19.218331,72.97809
199,1811732,Nanyang,China,33.0010496,112.5292693
200,1798601,Tangerang,Indonesia,-6.178306,106.631889
201,1795648,Bhopal,India,23.259933,77.412615
202,1793197,Rawalpindi,Pakistan,33.598394,73.044135
203,1778583,Lu'an,China,31.7383487,116.5142252
204,1768947,Fuyang,China,32.8926763,115.8090001
205,1756126,Esfahan,Iran,32.654627,51.667983
206,1751696,Depok,Indonesia,-6.388877,106.830069
207,1747152,LUSAKA,Zambia,-15.416667,28.283333
208,1746342,Hamburg,Germany,53.5437641,10.0099133
209,1740041,Budapest,Hungary,47.497912,19.040235
210,1737517,Datong,China,40.0893933,113.2801671
211,1735500,Tai'an,China,36.2003367,117.0808279
212,1732047,Kampala,Uganda,0.27,32.62
213,1731236,Vienna,Austria,48.208174,16.373819
214,1730320,Visakhapatnam,India,17.686816,83.218482
215,1700612,Warsaw,Poland,52.229676,21.012229
216,1697976,Patna,India,25.611,85.144
217,1680000,DAMASCUS,Syria,33.513,36.292
218,1677985,Bucharest,Romania,44.426767,26.102538
219,1667000,Homs,Syria,34.730833,36.709444
220,1666826,Huainan,China,32.6604304,117.0250917
221,1666703,Vadodara,India,22.307159,73.181219
222,1664218,Beograde,Serbia,44.786568,20.448922
223,1655015,Ecatepec,Mexico,19.601841,-99.050674
224,1652171,Manila,Philippines,14.599512,120.98422
225,1649825,Daqing,China,46.5969028,125.1014811
226,1647642,Suzhou,China,31.2984758,120.622239
227,1645675,Firozabad,India,27.159101,78.395757
228,1644783,KUALA LUMPUR,Malaysia,3.139003,101.686855
229,1620758,Mandalay,Myanmar,"21,98","96,09"
230,1619146,QUITO,Ecuador,-0.180653,-78.467838
231,1616063,Santa Cruz,Bolivia,-17.866667,-63
232,1615717,Yancheng,China,33.3939707,120.1349541
233,1614626,Karaj,Iran,35.811057,50.984079
234,1613878,Ludhiana,India,30.900965,75.857276
235,1612300,Zhanjiang,China,21.2021916,110.4045975
236,1608488,Recife,Brazil,-8.085592,-34.895025
237,1607022,Harare,Zimbabwe,-17.863889,31.029722
238,1606745,Rajkot,India,22.303895,70.80216
239,1605602,Barcelona,Spain,41.385064,2.173403
240,1603700,Tengzhou,China,35.0830599,117.153469
241,1600692,Yaoundé,Cameroon,3.86,11.52
242,1594829,Jiangyin,China,31.9092756,120.2630426
243,1591518,Adana,Turkey,37,35.321333
244,1574542,Agra,India,27.17667,78.008075
245,1572000,Siliguri,India,26.708382,88.426874
246,1570791,Phnom Penh,Cambodia,11.544873,104.892167
247,1560229,Zhuhai,China,22.2657516,113.568045
248,1555984,Semarang,Indonesia,-6.966667,110.416667
249,1553165,Philadelphia,USA,40.0094,-75.1333
250,1544084,Anshan,China,40.78195365,122.789233036
251,1530847,Kobe,Japan,34.720309,135.265887
252,1529400,Auckland,New Zealand,-36.84846,174.763332
253,1521600,Weifang,China,36.7084113,119.1044787
254,1518651,Daejeon,Republic of Korea,36.350412,127.384548
255,1513367,Phoenix,USA,33.5722,-112.088
256,1511369,Novosibirsk,Russia,55.008353,82.935733
257,1510103,Changshu,China,31.6434085,120.7408552
258,1508000,Hama,Syria,35.133333,36.75
259,1506156,Brazzaville,Republic of the Congo,-4.25,15.26
260,1495182,Guadalajara,Mexico,20.677504,-103.347824
261,1494998,Tabriz,Iran,38.066667,46.3
262,1493874,Guigang,China,23.099092,109.60844
263,1489040,Caloocan,Philippines,14.65,120.966667
264,1486973,Nashik,India,19.997453,73.789802
265,1485231,HARARE,Zimbabwe,-17.863889,31.029722
266,1481637,Qiqihar,China,47.338544,123.9511506
267,1478733,Barquisimeto,Venezuela,10.063611,-69.334722
268,1472482,Porto Alegre,Brazil,-30.033711,-51.214395
269,1471978,Multan,Pakistan,30.222933,71.480409
270,1468906,Kyoto,Japan,34.985458,135.757755
271,1468061,Dengzhou,China,32.6888657,112.0837091
272,1466516,Gwangju,Republic of Korea,35.159545,126.852601
273,1462383,Cixi,China,30.183333,121.233333
274,1460665,Shiraz,Iran,29.611903,52.583731
275,1460000,Nsukka,Nigeria,"6,866","7,444"
276,1458536,Changde,China,29.040525,111.6781103
277,1458036,Pizhou,China,34.3142567,117.9419078
278,1449296,Davao City,Philippines,7.190708,125.455341
279,1449284,Lome,Togo,"6,142","1,252"
280,1437802,Baoji,China,34.3860459,107.2409063
281,1437686,Suqian,China,33.9564492,118.2945375
282,1436599,Liuzhou,China,24.3213044,109.4066186
283,1434062,Puebla,Mexico,19.103906,-98.188942
